[rosmaster.main][INFO] 2026-03-11 11:50:58,424: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-03-11 11:50:58,424: Starting ROS Master Node
[xmlrpc][INFO] 2026-03-11 11:50:58,445: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-03-11 11:50:58,445: Started XML-RPC server [http://dfd1434c44f2:11311/]
[rosmaster.master][INFO] 2026-03-11 11:50:58,445: Master initialized: port[11311], uri[http://dfd1434c44f2:11311/]
[xmlrpc][INFO] 2026-03-11 11:50:58,445: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-03-11 11:50:58,502: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-03-11 11:50:58,504: +PARAM [/roslaunch/uris/host_dfd1434c44f2__44071] by /roslaunch
[rosmaster.master][INFO] 2026-03-11 11:50:58,530: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-03-11 11:50:58,530: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-03-11 11:50:58,530: +PARAM [/qualisys/server_address] by /roslaunch
[rosmaster.master][INFO] 2026-03-11 11:50:58,530: +PARAM [/qualisys/server_base_port] by /roslaunch
[rosmaster.master][INFO] 2026-03-11 11:50:58,535: +SERVICE [/rosout/get_loggers] /rosout http://dfd1434c44f2:35005/
[rosmaster.master][INFO] 2026-03-11 11:50:58,535: +SERVICE [/rosout/set_logger_level] /rosout http://dfd1434c44f2:35005/
[rosmaster.master][INFO] 2026-03-11 11:50:58,536: +PUB [/rosout_agg] /rosout http://dfd1434c44f2:35005/
[rosmaster.master][INFO] 2026-03-11 11:50:58,537: +SUB [/rosout] /rosout http://dfd1434c44f2:35005/
[rosmaster.master][INFO] 2026-03-11 11:51:00,337: -PUB [/rosout_agg] /rosout http://dfd1434c44f2:35005/
[rosmaster.master][INFO] 2026-03-11 11:51:00,338: -SUB [/rosout] /rosout http://dfd1434c44f2:35005/
[rosmaster.master][INFO] 2026-03-11 11:51:00,338: -SERVICE [/rosout/get_loggers] /rosout rosrpc://dfd1434c44f2:57963
[rosmaster.master][INFO] 2026-03-11 11:51:00,339: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://dfd1434c44f2:57963
[rosmaster.main][INFO] 2026-03-11 11:51:00,387: keyboard interrupt, will exit
[rosmaster.main][INFO] 2026-03-11 11:51:00,387: stopping master...
[rospy.core][INFO] 2026-03-11 11:51:00,388: signal_shutdown [atexit]
